Category,Resume
hr,"HR manager із 5-річним досвідом та глибоким розумінням стратегічної ролі HR у бізнесі та всіх HR процесів.
Як HR Manager, я активно працювала над підтримкою і оптимізацією ефективної HR-стратегії, яка підтримувала бізнес-цілі компанії та сприяла розвитку корпоративної культури. Заклала фундамент процесса гейміфікації в компанії, що підвищила залученість працівників Впровадила нові інструменти для моніторингу ефективност - процес управління ризиками співробітників. Брала участь у всіх ключових бізнес-процесах, вирішувала конфліктні ситуації на різних рівнях між командами та підрозділами, покращувала внутрішні процеси для підвищення ефективності. Приймала участь і активно працювали над створенням програми адаптації для нових співробітників.  В рамках моїх обов'язків я активно співпрацювала з менеджерами, щоб сприяти росту та розвитку співробітників, розв'язувати трудові конфлікти та вирішувати інші HR-проблеми. Займалась аналітикою HR даних, оцінкою персонала."
hr,"Head of HR Jun 2023 - Nov 2024
SysGears, Dnipro
Develop and implement HR strategies, policies, and programs which support the business objectives, vision, and values of the organization
Work with senior management to identify HR priorities and opportunities, and to develop and execute HR plans that support the organization's objectives
Provide leadership and support to the HR team, and foster a culture of continuous learning, development, and improvement
Manage employee relations, including the development and implementation of policies and programs that promote a positive work environment and resolve employee issues
Lead the development and implementation of compensation and benefits programs that are competitive and align with the organization's goals and values
HR Manager Feb 2022 - Jun 2023 SysGears, Dnipro
Onboarding new employees, helping during trial period & adaptation, mood‐monitoring, offboarding;
Conducting regular 1to1 assessments and adjustments of the relationship between the company and the employees;
Work with teams (career development, identifying risks, organizing team building events); Conducting and analysis of HR‐metrics;
Helping team leads with solving conflict and problematic cases in teams.
HR Manager Aug 2020 - Jan 2022
DevEducation, Dnipro
Responsibilities:
Motivating, adapting, creating and maintaining a positive atmosphere among students. Conduct 1 to 1
Organization and holding of events.
Communication with potential college students.
Records management."
hr,"Human Resources Specialist
Key Responsibilities:
- Managing the full employee lifecycle within the company, from onboarding to offboarding.
- Developing HR policies and streamlining documentation processes.
- Managing employee relations to ensure engagement and satisfaction.
- Supporting a remote workforce with effective communication and collaboration tools.
Core Skills:
- HR Policies, Employee Engagement, Remote Operations, Documentation, Event Management"
hr,"Work experience as an HR/Recruitment Data Analyst for 3 years. I graduated from BI/Data analysis courses, including Power BI, Tableau, DAX, SQL, Python, and Excel. I specialize in data collection, cleaning, and visualization according to customer requirements.
DANIT - Certificate in Business Intelligence.
Prometheus - ""HR metrics and HR analytics"" from the cycle ""HR Foundation""
I have a university education in Computer Science.
Current responsibilities
•	Data Cleaning and Preparation:
Filtering the data, handling missing values, and preparing the dataset for analysis to ensure accuracy and relevance.
Ensuring data's accuracy, consistency, and reliability throughout its lifecycle.
Cleaning data and carefully checking computer reports and results to identify and correct errors.
•	Data Visualization: create visual representations of data findings through charts, graphs, and dashboards to make the data understandable.
Create and maintain processes to generate accurate, timely reports that help understand and act on key data.
Collaborate with managers to define data requirements for analytics projects tailored to their unique business processes.
Develop data dashboards, charts, and visual aids to support decision-making.
•	Reporting: prepare reports and presentations to communicate the insights and findings from the data to stakeholders, which can influence policy and decision-making processes.
•	Collaboration: work with different HR departments to understand their data needs and help them make informed decisions based on data insights.
•	Collaborate with the management team to identify and rank the needs of various reports.
•	Conduct scheduled audits of existing Dashboards and agree on the stages of adjustments and additions based on changes in business requests."
hr,"- Expert in identifying and connecting with top talent globally, covering LATAM, USA, UK and Europe (Germany, Poland, Romania, etc)
- Skilled in researching IT specialists, sales professionals and business growth leaders through social media using different sourcing techniques
- Building and managing dynamic talent pipelines, ensuring a strong network for current and future hiring needs
- Engaging candidates effectively, presenting career opportunities and fostering strong professional relationships
- Collaborating with Recruiters, Resource Managers, DMs and Directors to streamline the hiring process
- Experienced in leveraging Expandi tool for personalized and automated outreach campaigns"
hr,"Experienced and self- motivated Customer Support , Sales and Retention representative with 7 years of industry experience. Willing to get experience in new fields.
Customer Support Representative at LuLu/Upclick
Feb, 2017-Mar, 2018
Increasing customer return rates by providing excellent customer service (calls/tickets/chats in English and French).
Sales Representative at Lulu/Avanquest
Mar, 2018 - Jan, 2020
increasing sales of Remote Technical Support and softwares on calls/chats/tickets in English and French, creating efficient sales strategies
Retention Representative at Lulu/Avanquest
Apr, 2019- now
Developing retention strategies by analysing retention and customer satisfaction rates. Creating knowledge base and user guides. Working with chargeback risk cases, preventing chargebacks. Dealing with PayPal disputes."
hr,"Period: 07.2020 - till now
Position: HR-generalist
Responsibilities:
- On-boarding procedure, adaptation,  off-boarding procedure and 1:1 meetings, Performance review;
- Identifying conflict situations - advice - assistance in solving;
- Conducting surveys/questionnaires;
- Involvement in preparation of team building events and other corporate activities;
- Sourcing and attracting candidates by using databases, social media etc;
- Screening resumes and job applications;
- Conducting interviews and filtering candidates for open positions;
Period: 04.2019 - 01.2020
Company: by NDA
Position: HR-generalist
Responsibilities:
- Sourcing and attracting candidates by using databases, social media etc;
- Conducting interviews and filtering candidates for open positions;
- Screening resumes and job applications;
- Providing Performance Review process;
- On-boarding procedure and adaptation;
- Monitoring the situation in the team: identifying conflict situations, advice, and assistance in solving
- Conducting surveys/questionnaires;
- Involvement in preparation of team building events and other corporate activities;
- Accounting for the birthdays of employees and the organization of congratulations from the team;
- Taking part in the process of providing a comfortable life in the office;
- Taking part in the process of organizing events.
Period:  02.2018 - 22.02.2019
Company:  by NDA
Position: HR assistant/IT Recruiter
Responsibilities:
- Conducting interviews and filtering candidates for open positions;
- Screening resumes and job applications;
- Conducting interviews;
- Providing Performance Review process;
- Providing the process of probation period for employees;
- Taking part in the process of providing a comfortable life in the office;
- Taking part in the process of organizing events.
Period:  2015 - 2018
Company:  ClarusApex Jobs Around the World;
Position: ​ Recruiter
Responsibilities:
- Sourcing and attracting candidates by using databases, social media etc;
- Conducting interviews and filtering candidates for open positions;
- Screening resumes and job applications;
- Conduct interviews;
- Provide analytical and well-documented recruiting reports to the rest of the team;
- Act as a point of contact and build influential candidate relationships  during the selection process;
- Promote the company’s reputation as ""the best workplace"".
2018 (3 months) - HR-Нouse “IT HR-manager/ IT recruiter”
2024 - Hurma Academy, “Підвищуємо ефективність ІТ-рекрутингу”
2024 - AI for HR: More time for work with People, Sigma Software University
2024 - HR Time: Practical course on personnel management for IT HR Managers, IAMPM
Certificate with Honours Degree
To work in a stable, prospective company, where I`ll have a chance to develop my skills."
hr,"Hello! I am an experienced HR manager with a track record of designing HR processes from the ground up, and comprehensive knowledge of the entire employment lifecycle.
Proficient in collaborating with large international cross-functional teams.
- Proficient in developing and implementing comprehensive human resource policies.
- Experienced in organizing and facilitating quarterly and annual employee performance reviews.
- Adept at providing HR-related support and guidance to employees across various domains.
- Collaborates closely with executive leadership to craft and execute HR strategies that align with overarching business objectives.
- Constantly enhances HR processes and practices to optimize operational efficiency.
- Shares best practices and offers managerial training in critical people management techniques.
- Successfully launched a mentorship and internship program within the organization.
What can I help with:
- Creation and implementation of basic HR processes in the company (onboarding, offboarding, 1-2-1, performance review).
- Building a culture and  defining values that you can rely on in your internal politics.
- Implementation of L&D activities according to the requests of your team.
- Writing all base policies, guidelines and handbook.
- Assessment and analysis of the current employment satisfaction with action points to conduct.
- Assistance in building your HR team and formation of HR service in the company as such."
hr,"My main achievements:
- 4 years of experience as a COO in my own outsourcing company, ensuring operational excellence and business growth.
- 6+ years in different management positions, successfully leading diverse teams and projects.
- Directly managing a team of 18 people, focusing on performance improvement and professional growth.
- Built and optimized 2 high-performing sales departments, resulting in a significant revenue increase.
- Conducted more than 2000 interviews, mastering the art of identifying and onboarding top talent.
- Implemented scalable operational processes, increasing efficiency and reducing costs.
- Developed long-term partnerships with key clients.
- Introduced innovative tools and systems for project management, enhancing team productivity.
- Coordinated and launched successful cross-departmental initiatives, fostering collaboration and alignment across teams.
- Mentored emerging leaders, many of whom have advanced into key management roles.
- Proven track record of scaling businesses while maintaining high customer satisfaction ratings
- A leadership role where I can leverage my operational and management expertise to drive business growth.
- Opportunities to build and optimize processes that increase efficiency and profitability.
- A dynamic and innovative work environment that values strategic thinking and creative problem-solving.
- Collaboration with forward-thinking teams to implement impactful solutions.
- A position that offers professional challenges and room for personal and career development.
- Open communication, trust, and a clear focus on achieving ambitious goals together."
hr,"I am an HR professional with hands-on experience across the full employee lifecycle — from recruitment and onboarding to performance management, engagement, and leadership support. Over the years, I’ve built a strong reputation for being both people-focused and business-aware, consistently acting as a trusted partner to managers and teams. I thrive in dynamic environments, enjoy solving complex HR challenges, and take pride in creating a supportive, structured, and transparent work culture. I'm especially passionate about helping leaders grow and employees feel seen, heard, and valued.
Key responsibilities:
- Developed and implemented comprehensive recruitment strategies aligned with company objectives. - Prepared and posted job vacancies across specialized recruitment platforms.
- Conducted candidate interviews and assessments to evaluate suitability for positions.
- Organized technical discussions between candidates and department heads.
- Managed the collection, processing, and secure handling of personal data and documentation, ensuring compliance with relevant regulations.
- Maintained and regularly updated personnel databases.
- Monitored recruitment metrics and prepared periodic analytical reports for management review.
- Provided expert consultation to employees regarding vacations, medical benefits, compensation, and other employment-related matters.
- Managed conflict resolution, offering effective and practical solutions.
- Developed and maintained documentation reflecting company policies and procedures.
- Supported and implemented key HR processes, including onboarding, probation period evaluations, and regular one-on-one meetings.
- Conducted regular one-on-one meetings.
- Managed onboarding and offboarding processes.
- Actively participated in employee engagement activities, enhancing team morale and workplace culture. - Collaborated closely with managers to address and improve employee relations and workplace satisfaction.
- Built the HR function from the ground up, including systems, processes, and internal partnerships.
- Scaled the company from 25 to 80 employees while maintaining strong team cohesion and culture.
- Launched branded loyalty initiatives, including recognition programs and team gifting practices.
- Increased employee retention by 20% through analytics-driven interventions and engagement programs.
- Reduced turnover from 35% to 11% by improving onboarding and manager involvement."
hr,"- Підготовка онбординг-процесу та внутрішніх гайдлайнів;
- Співпраця з командами, збирання, організація командних зустрічей;
- Підтримка команди на всіх етапах HR-циклу
- Оформлення нових співробітників (NDA, договори, CV, робота в CRM)
- Адміністрування систем (Coda, Excel)
- Формування платіжних документів, облік договорів та актів (Вчасно)
- Підготовка тендерних документів, комерційних пропозицій
- Організація свят, подарунків, пошук локацій
- Комунікація з страховими компаніями, підготовка страхових полісів
- Створення та підтримка HR-бази резюме
- Створення презентацій (Сanva)"
hr,"As an HR Manager and Head of HR, I led end-to-end recruitment processes and coordinated HR operations across various industries (hospitality, construction, office rentals). I was responsible for sourcing and onboarding talent, creating HR documentation, organizing employee training, and supporting internal initiatives. I ensured compliance with labor law, maintained accurate personnel records, and prepared reports. In the team, I acted as an HR process coordinator, mentor for newcomers, and strategic partner to company leadership."
hr,"Я маю понад 5 років досвіду в HR, працюю з департаментами 150+ співробітників (як Tech, так і Non-Tech ). Мій досвід охоплює всі етапи життєвого циклу співробітників, включаючи онбординг , проведення 1:1 та Exit-інтерв'ю , участь performance review. Я маю досвід у побудові та оптимізації HR-процесів , зокрема у створенні матриці компетенцій та адаптації співробітників.
Основні обов'язки:
- Onboarding співробітників
- Проведення 1:1, проведення комплексного аналізу проведених зустрічей з пропозицією вирішення проблемних кейсів.
- Розвиток співробітників
- Написання/оновлення HR політик (загальна процедура адаптації співробітників, лінійних менеджерів, ветеранів)
- Робата з корпоративними мережами (написання постів, оновлення інформації)
- Offboarding
- Опитування співробітників та аналіз результатів
- Робота з повним циклом рекрутингу: від пошуку до залучення нових співробітників (в періоди активного найму)
- Створення бази профілей оцінки кандидатів (матриці компетенцій) на різні по рівню позицій (Junior, Middle, Senior, Lead);
- Впровадження чат-боту для оптимізації адаптації співробітників
- Впровадження HR процесів з 0"
hr,"6 years of HRD/Operations Executive experience within IT companies, both in outsourcing and product environments. Recognized as a collaborative team player with a track record of fostering an empathetic and supportive workplace culture. Skilled in facilitating the professional growth and development of teams. Self-directed and committed to meeting deadlines and maintaining high-quality standards.
- Successfully established and developed all core HR functions within the company from inception.
- Led the design and execution of organizational structures, role definitions, interaction protocols, adaptation programs, development initiatives, and action plans for a workforce exceeding 50-100 employees.
- Crafted a comprehensive team onboarding strategy, enhancing new member integration and fostering trust within the team.
- Collaborated with managers and leadership to drive strategic workforce planning and succession initiatives, contributing to long-term organizational success.
- Effectively addressed complex employee relations issues and grievances.
- Introduced initiatives to enhance employee collaboration and engagement, resulting in heightened satisfaction and productivity.
- Strengthened and supported the company's internal HR brand.
- Cultivated corporate cultures and launched unified communication channels, leading weekly and management meetings.
- Successfully initiated and executed regular performance and Salary reviews, fostering communication and collaboration across departments.
- Managed change processes and effectively addressed resistance.
- Oversaw budget planning on a monthly, quarterly, and yearly basis.
- Collaborated with legal and financial teams to optimize existing operational processes.
- Managed the benefits program and implemented turnkey projects to enhance project delivery and resource optimization.
- Cultivated strong and mutually beneficial partnerships with vendors, resulting in cost savings.
- Streamlined and optimized payroll processes, increasing accuracy, reducing processing time, and boosting employee satisfaction.
- Led the successful implementation of HRMS, improving workflow efficiency and data management.
- Managed employee data effectively and securely
* remote"
hr,"Senior HR Specialist
Kulikovsky Kazakhstan, Almaty
Feb 2024 – Feb 2025
Co-developed career progression and talent development framework with leadership — 30% internal promotions.
Strengthened HR-Sales collaboration, doubling task execution speed.
Reduced new hire turnover by 25% via onboarding revamp and mentor incentive programme.
Launched regular 1:1s and pulse surveys to preempt staff attrition risks.
Developed HR KPI system and provided executive-level reports and insights.
Managed communication during organisational changes, reducing anxiety and improving transparency.
Initiated high-impact HR culture projects:
""Happiness Request"" (anonymous survey fostering trust)
""Summer Sales Marathon"" (resulted in 12% profit growth)
""Brand Ambassadors"" (60% engagement increase in HR initiatives)
Recognition programme with tailored gifts and public appreciation
HR Specialist
EsetNod32
Sep 2020 – Jan 2024
Designed gamified training tailored to sales objectives, increasing team engagement and sales outcomes.
Created internal branding initiatives, including company merchandise and non-financial rewards, leading to 20% increase in employee engagement.
Organised strategy offsites, team buildings, and internal training for over 120 staff, enhancing culture and internal cohesion.
Led employer branding campaigns through events, job fairs, and partnerships.
Senior HR Specialist
Kulikovsky Kazakhstan, Almaty
Achievements:
Boosted Welcome training attendance by redesigning the session format.
Launched employee recognition system aligned with company values.
Enhanced team collaboration through cross-functional projects.
HR Specialist
EsetNod32
Achievements:
20% improvement in employee loyalty through branding and engagement strategies.
Boosted HR brand awareness through consistent event participation (3–4 monthly).
Strengthened team skills, contributing to sales growth."
hr,"I have more than 12 years of experience in the HR field. I also have experience in HR administration in full compliance with legislation of Ukraine and work experience on management position
Worked with the projects:
- Outsourcing / Outstaffing
- Permanent Placement Service
- Temporary Service
- Mass Recruitment
• Implementation of all the HR processes
• Budgeting (formation of organizational structure, payroll fund, headcount and calculating staff efficiency)
• Implementation of changes in the structure of the company
• Participation in the development of a motivation system. Description of business processes
• Full circle recruitment which includes hiring, adaptation and training of personnel and exit interviews
• Setting goals and their evaluating
• Providing management and coordination of HR specialists
• Participation in negotiations with clients
I’m seeking a position with a stable company with room for growth and opportunity for advancement"
hr,"Three and a half years of experience in HR management, including more than two years as an HR specialist, active participation in all HR processes. I have a proven track record of building recruitment processes from scratch, implementing HRIS for automation, and developing HR strategies aligned with business goals. I act as a strategic advisor to leadership, helping align team objectives with company growth, while fostering a positive and collaborative work environment. My expertise includes managing the full employee lifecycle, optimizing performance evaluations, developing employee development plans, and using HR analytics to refine strategies. Additionally, I have successfully managed compensation strategies and employer branding initiatives to attract and retain top talent.
RESPONSIBILITIES:
- Acted as a strategic advisor to the leadership team, aligning team goals with company business objectives.
- Implemented HRIS (PeopleForce), automating HR processes and managing the full employee lifecycle.
- Developed and integrated policies for recruitment, performance evaluation, retention, and offboarding into the company’s HR practices.
- Built a strong employer brand to attract and retain top talent.
- Designed and established recruitment processes for IT and non-IT roles from scratch, aligning with business needs.
- Collaborated with managers to create L&D programs, development plans, and succession strategies to enhance employee skills.
- Developed and implemented a Total Rewards strategy covering competitive compensation, benefits, recognition, and work-life balance initiatives, increasing engagement and retention.
- Optimized performance evaluation systems (KPI-based and 360° feedback), ensuring transparency and fairness.
-Managed HR budgets, planning, and performance analysis for efficient resource utilization.
-Leveraged HR analytics to refine strategies and achieve business goals.
- Developed and implemented recruitment processes from scratch, filling both IT and non-IT roles with a high retention rate post-probation.
- Created a cutting-edge benefits program that significantly increased employee satisfaction, improving employer branding and speeding up recruitment processes.
- Improved internal communication through regular 1:1 meetings and anonymous surveys, reducing conflicts and boosting overall team satisfaction.
- Collaborated with managers to develop employee growth plans, leading to higher motivation, increased productivity, and multiple internal promotions.
I’m looking for a company that values people and aims to create a collaborative and dynamic work environment. I bring experience in building HR processes that drive business growth and employee satisfaction, and I’m eager to contribute to a team where my knowledge and skills can continue to grow and create tangible impact."
hr,"10+ years e[periance on HRD positions in Service and Product IT companies with FinTech, GameDev, AdTech, HealthCare, MilTech, EdTech and et domains
Develop and implement HR strategy aligned with business goals
Create and manage strong HR and Recruiting processes
Successful experience in scaling companies
Successful management experience 20+ people under
Crisis management
Analytic skills
development of automated processes of onboarding\offboarding
implementation grading process
development of C&B review process
formulation of company’s policies
monitoring of HR metrics like: eNPS, Staff turnover, hire cost implementation HRIS
implementation of staff development and education
internal / external HR brand development
development EVP
Organization and implementation successful Recruitment processes and procedures from scratch
Creating and implementing mental health environment for remote work and processes of online activities.
Collaboration with such departments like Finance, Legal, Marketing partners to build the right infrastructure.
HR budgeting
New challenges!"
hr,"Experienced HR professional and team manager with a strong background in developing and implementing HR processes, performance management, and employee lifecycle management. Passionate about fostering high-performing teams, creating a culture of continuous feedback, and aligning HR strategies with business goals. Proven leadership in team development, KPI-driven management, and training facilitation. Looking for opportunities to drive organizational growth through effective HR and operational strategies.
HR & People Operations (3+ years in IT):
- Developed, implemented and automated HR processes and policies to enhance operational efficiency
- Managed the full employee lifecycle, including onboarding, development, and performance management.
- Worked with HR analytics, tracking engagement, retention, and performance metrics to drive data-informed decisions
Education & Leadership (3+ years in Leadership):
- Designed and implemented educational programs, fostering continuous growth.
- Led a team for 1.5+ years, conducting regular 1:1s, developing probation plans, and personal development plans (PDPs).
- Managed team KPIs aligned with company OKRs and delivered impactful training sessions.
Passionate about building high-performing teams, fostering a culture of continuous feedback, and aligning HR strategies with business goals.
I am looking for an opportunity in a dynamic environment where I can contribute to building strong teams and effective HR processes. I want to integrate corporate culture into HR strategies, ensuring alignment between business objectives and people management.
My goal is to work closely with managers and employees, providing them with the right tools and support to enhance engagement, performance, and professional growth. I am passionate about creating structured yet adaptable HR processes, fostering a culture of feedback and continuous development, and driving organizational success through strategic HR initiatives.
I am excited to bring my experience in employee lifecycle management, performance optimization, and HR analytics to a company that values people and innovation."
hr,"I have over 5 years of experience in recruitment and HR process management. My professional journey includes successfully managing the full recruitment cycle, closing vacancies of varying complexity and specializations, onboarding new employees, motivating and retaining personnel, and fostering professional development. I am passionate about identifying talented professionals, building effective teams, and creating a comfortable and productive work environment. I strive to grow in the HR field, continuously enhancing my knowledge and practical skills to help companies achieve their strategic goals by focusing on their most valuable asset – people.
I have a successful experience in the selection of candidates for different roles. I'm passionate about finding the right people and helping to build a strong team. I want to develop and apply my skill and experience in an IT company."
hr,"На минулому місці роботи показувала відмінні результати, займала керівну посаду, мала в підпорядкуванні команду із 5 рекрутерів, займалась їх навчанням та стажуванням. Проводила співбесіди та займалася комунікаціями з потенційними кандидатами."
hr,"Work Experience
Human Resource Manager
Beetroot Academy (Social Enterprise IT School) | April 2023 – October 2024
Developed and improved policies and procedures to enhance operational efficiency.
Managed the employee lifecycle, including recruitment, onboarding, retention, development, and offboarding processes.
Conducted 1:1 meetings and performance reviews to support employee growth and engagement.
Coached team members to improve performance and professional development.
Analyzed and improved organizational culture, fostering a healthy and inclusive work environment.
Promoted a culture of open and adult communication within the organization.
Administered and optimized the HRM platform to streamline HR operations.
Supported employees in accessing psychological assistance and mental health resources.
Designed and facilitated soft skills training for team members.
Coordinator of Educational projects
Proto Produkciia Agency (Coordination of NGO Insha Osvita projects) | September 2022 – March 2023
Managed the project lifecycle, from concept development and planning to execution and evaluation.
Coordinated team efforts and resource allocation to ensure successful project delivery.
Organized events for workshops and training sessions.
Handled financial management and reporting for multiple projects.
Provided analytical reporting to assess project outcomes and effectiveness.
Regional Coordinator, HR Direction
NGO Crimea SOS (with the support of UNDP) | April 2022 – July 2022
Established and managed support systems for internally displaced persons (IDPs) in the region.
Oversaw the implementation and management of project processes, ensuring timely and effective delivery.
Organized and monitored daily operations to maintain efficiency and achieve project goals.
Board Member, Human Resource Development direction
NGO STAN | January 2019 – August 2022
Led strategic planning and policy development to advance organizational objectives.
Oversaw the onboarding, retention, development, and offboarding processes for team members.
Facilitated team development initiatives aligned with the organization’s goals.
Organized training and development programs to enhance team skills and capacities.
Improved organizational culture through regular analysis and implementation of best practices.
Managed stakeholder communications and fostered partnerships to support the organization's growth.
Conducted monitoring and evaluation to assess the impact of organizational initiatives."
hr,"Highly accomplished Recruitment Director with over 11 years of expertise in leading talent acquisition strategies
across various sectors. Proven track record in improving offer acceptance rates, conversion rates, time to fill, and
time to hire while significantly reducing the cost per hire. Experienced in launching new operational locations,
driving strategic planning, team management, and process improvement. Renowned for creating a collaborative,
outcome-focused culture that aligns with business goals. Excellent communicator, dedicated to fostering strong
relationships and providing impactful recruitment solutions to enhance organizational growth.
Key skills and competencies:
- Team (people) management
- Risk Management
- Process and Operational Management
- Recruitment OKR & KPI
- Cross Location and Cross Industry experience
- Process Improvement
- Process Automation
- Staffing Coordination
- Certified Six Sigma Green Belt professional
- Silver for “Recruiting or Talent Acquisition Professional of the Year” - Stevie Awards for Great Employers 2023, New York
- Successfully improved offer acceptance rate by 15% through strategic hiring initiatives.
- Achieved a 20% reduction in time to fill and a 25% reduction in time to hire across multiple roles.
- Reduced cost per hire by 30% through effective budget management and process optimization.
- Increased candidate conversion rates by 18% through data-driven recruitment strategies.
- Launched new operational locations, scaling recruitment efforts to support business growth.
- Enhanced employer branding, resulting in a 25% increase in high-quality applicant flow.
- Developed a comprehensive referral program, increasing referral hires by 30%."
hr,"HR with 8 years’ experience in PeopleOperations & 2 years in Event Project Management.
More than 4,5 years in managing distributedteams (from Hong Kong to Lisbon, including the CIS).
When solving problems, I always go beyond thestandard framework. 90% of my project decisions arecalculated several steps ahead, I am a pragmatist with agreat sense of humor.
Passionate book lover, drummer, learningpython to automate processes.
My core competencies:
Compensation & Benefits
Performance Management
HR Analytics & Records Management
Onboarding / Adaptation / Offboarding
Employer Brand Promotion
Events planning
Well-being activities & Total Rewards
Technical sourcing
Team Facilitation & Talent Development
Processes redesign
Cost management (reduction analytics etc)
Risk management & Retention
HR Strategy alignment with Business Goals"
hr,"Hello.)
First of all, thanks for the attention to my profile.
I have 6 + years of experience as Recruiter and HR generalist in IT sphere.
During this period I have worked as a full-cycle specialist  in product and outsource/outstaff companies and I have successfully closed a large number of positions (IT and Non- IT) Mostly I closed Middle, Senior, Team/Tech Lead , Architect positions. I have a strong cooperation skills in team and I also can work independently.
I believe that my expertise can be useful  for different kind of staffing tasks.
Starting from: creating and screening the requirements , cooperation with hiring managers or customers, managing hiring manager expectations and finishing  of closing process and onboarding/offboarding.
As I said earlier I also had an experience with HR part, so I am not afraid to take a part in various tasks.
I have the experience of hiring people from all over the world.
About my interpersonal skills, I could say that I have a high level of empathy which helps me to better understand people.)
I Will be glad to discuss your offers)
1) Successfully I  closed small-budget vacancies.
2) Returned high-quality specialists to the project when they left.
3) I helped to build a new corporative site after long-term no changes.
4) I closed the position which had only few developers on the market.
5) Successfully proceed candidates and hiring during long hiring process
Friendly corporate culture, professional development and growth."
hr,"Hello there!
I am an experienced professional teacher of foreign languages, with facilitating skills, leadership and  exceptional organizational skills. My expertise allows me to provide excellent and effective communication and conflict solving skills. Being a multitasking person I can lead a big amount of people ensuring timely and accurate delivery of results. I can be an ideal partner for either individuals or teams, and can provide practical solutions and adapt quickly to new challenges."
hr,"Experienced HR Business Partner adept at aligning HR initiatives with organizational goals to drive success. With over 9 years of comprehensive HR experience, I bring a proven track record in talent acquisition, performance review, and process optimization . Starting my career in recruitment, I've developed a keen eye for identifying top talent and assembling high-performing teams. In my current role, I've played a pivotal role in building HR frameworks from the ground up, including recruitment, onboarding, and performance evaluation.
Passionate about fostering a positive workplace culture and facilitating employee growth and development, I am committed to driving organizational success through strategic HR initiatives."
hr,"• Managing full HR and recruitment processes in Holding (FinTech, Gambling)
• Started as a HR Generalist with zero processes - gown a HR infrastructure with all working processes in it;
• Develop HR strategies that align with company goals;
• Development and implementation internal procedures and policies from scratch (on-boarding, of-boarding, adaptation, vacation, performance review, procedures for TLs and TOP management's)
• Manage recruitment and process, ensuring the hiring of top talent
• Establish a competitive and comprehensive compensation and benefits policy
• Develop learning and development programs
• Oversee employee relations to cultivate a positive and respectful workplace culture
•Corporate culture maintains, values promotion, wellbeing"
hr,"Che IT Group
HR Manager
September 2023 - Present Day
- Support employees throughout the entire life cycle (onboarding, probation, development, offboarding).
- Organize and conduct one-on-one meetings and 360 feedback surveys.
- Develop and implement programs to improve corporate culture.
- Resolve conflicts and support employees.
- Communicate and implement company changes.
- Enhance the company’s employer brand.
QA Madness
Office Manager
May 2021 - December 2023
- Maintain a positive team atmosphere through effective communication.
- Onboard and adapt newcomers.
- Manage office supplies and expenses.
- Organize corporate events and handle decorations and procurement.
STEM-school Inventor
Event Manager
September 2019 - May 2021
- Organize and execute entertainment events and holidays for children.
- Manage social media and create marketing content for the school.
- Develop and implement marketing strategies.
- Coordinate with other schools and organize city-wide events.
Volunteer Experience
Public Organization ""RVN""
Internal Culture Team Leader
September 2023 - Present Day
- Support and enhance the internal culture and values of the organization.
- Organize events for communication and intellectual development.
-  Development of teams and individual team members.
- Manage a team of 5 people and create training courses.
Campus Ukraine
Volunteer
February 2017 - May 2020
- Organized educational and entertainment events for students, including English clubs and conferences.
- Conducted personal meetings and received event feedback.
- Planned strategies for Campus Ukraine in Odesa.
Projects
Speak Out
July 2019
- Organized a two-week English language camp in Poltava for 400 students with American volunteers, including lessons, personal meetings, and events.
New Year's Party
December 2019
- Organized a New Year’s event for 300 children and parents, including concept creation, school decoration, event scheduling, and social media advertising.
Odessa LIVE
January 2021
- Appeared on Odesa TV to promote LEGO activities and the school."
hr,"General experience in HR – over 8 years, in IT company – 4.5 years.
Responsibilities:
Building HR processes from scratch.
Creating/updating company policies.
Onboarding and offboarding.
Adaptation.
Performance reviews.
One-to-one calls.
Monitoring employees' morale.
Supporting company culture.
Organizing corporate events.
Organizing meetings and workshops.
Creating job profiles and descriptions.
Recruiting.
Supporting candidates throughout the entire recruitment process.
Mentoring junior HR.
- built HR processes from scratch
- was a speaker at a course ""How to open a game development studio"""
